"Plate","Well","ID"
"2A","E6","EE_B1_HW_137"
"2A","E7","EE_B1_HW_145"
"2A","E8","EE_B1_HW_153"
"2A","E9","EE_B1_HW_161"
"2A","E10","EE_B0_JC_169"
"2A","E11","EE_B0_JC_177"
"2A","E12",NA
"2A","F1","EE_B1_PV_98"
"2A","F2","EE_B1_PV_106"
"2A","F3","EE_B1_PV_114"
"2A","F4","EE_B1_PV_122"
"2A","F5","EE_B1_HW_130"
"2A","F6","EE_B1_HW_138"
"2A","F7","EE_B1_HW_146"
"2A","F8","EE_B1_HW_154"
"2A","F9","EE_B1_HW_162"
"2A","F10","EE_B0_JC_170"
"2A","F11","EE_B0_JC_178"
"2A","F12",NA
"2A","G1","EE_B1_PV_99"
"2A","G2","EE_B1_PV_107"
"2A","G3","EE_B1_PV_115"
"2A","G4","EE_B1_PV_123"
"2A","G5","EE_B1_HW_131"
"2A","G6","EE_B1_HW_139"
"2A","G7","EE_B1_HW_147"
"2A","G8","EE_B1_HW_155"
"2A","G9","EE_B1_HW_163"
"2A","G10","EE_B0_JC_171"
"2A","G11","EE_B0_JC_179"
"2A","G12",NA
"2A","H1","EE_B1_PV_100"
"2A","H2","EE_B1_PV_108"
"2A","H3","EE_B1_PV_116"
"2A","H4","EE_B1_PV_124"
"2A","H5","EE_B1_HW_132"
"2A","H6","EE_B1_HW_140"
"2A","H7","EE_B1_HW_148"
"2A","H8","EE_B1_HW_156"
"2A","H9","EE_B1_HW_164"
"2A","H10","EE_B0_JC_172"
"2A","H11","EE_B0_JC_180"
"2A","H12",NA
"3A","A1","EE_B0_JC_185"
"3A","A2","EE_B0_JC_193"
"3A","A3","EE_B0_HW_201"
"3A","A4","EE_B0_HW_209"
"3A","A5","EE_B0_HW_217"
"3A","A6","EE_B0_HW_225"
"3A","A7","EE_B0_HW_233"
"3A","A8","EE_B0_PV_241"
"3A","A9","EE_B0_PV_249"
"3A","A10","EE_B0_PV_257"
"3A","A11","EE_B0_PV_265"
"3A","A12",NA
"3A","B1","EE_B0_JC_186"
"3A","B2","EE_B0_JC_194"
"3A","B3","EE_B0_HW_202"
"3A","B4","EE_B0_HW_210"
"3A","B5","EE_B0_HW_218"
"3A","B6","EE_B0_HW_226"
"3A","B7","EE_B0_HW_234"
"3A","B8","EE_B0_PV_242"
"3A","B9","EE_B0_PV_250"
"3A","B10","EE_B0_PV_258"
"3A","B11",NA
"3A","B12",NA
"3A","C1","EE_B0_JC_187"
"3A","C2","EE_B0_JC_195"
"3A","C3","EE_B0_HW_203"
"3A","C4","EE_B0_HW_211"
"3A","C5","EE_B0_HW_219"
"3A","C6","EE_B0_HW_227"
"3A","C7","EE_B0_HW_235"
"3A","C8","EE_B0_PV_243"
"3A","C9","EE_B0_PV_251"
"3A","C10","EE_B0_PV_259"
"3A","C11",NA
"3A","C12",NA
"3A","D1","EE_B0_JC_188"
"3A","D2","EE_B0_JC_196"
"3A","D3","EE_B0_HW_204"
"3A","D4","EE_B0_HW_212"
"3A","D5","EE_B0_HW_220"
"3A","D6","EE_B0_HW_228"
"3A","D7","EE_B0_HW_236"
"3A","D8","EE_B0_PV_244"
"3A","D9","EE_B0_PV_252"
"3A","D10","EE_B0_PV_260"
"3A","D11",NA
"3A","D12",NA
"3A","E1","EE_B0_JC_189"
"3A","E2","EE_B0_JC_197"
"3A","E3","EE_B0_HW_205"
"3A","E4","EE_B0_HW_213"
"3A","E5","EE_B0_HW_221"
"3A","E6","EE_B0_HW_229"
"3A","E7","EE_B0_PV_237"
