"Plate","Well","ID"
"2A","G5","ELEL_RM_MP_635"
"2A","G6","ELEL_RM_MP_643"
"2A","G7","ELEL_RM_CR_651"
"2A","G8","ELEL_RM_BC_689"
"2A","G9","ELEL_RM_PF_706"
"2A","G10","ELEL_RM_NR_714"
"2A","G11","ELEL_RM_LC_722"
"2A","G12","ELEL_RM_LC_730"
"2A","H1","ELEL_RM_HC_604"
"2A","H2","ELEL_RM_NC_612"
"2A","H3","ELEL_RM_BL_620"
"2A","H4","ELEL_RM_BL_628"
"2A","H5","ELEL_RM_MP_636"
"2A","H6","ELEL_RM_MP_644"
"2A","H7","ELEL_RM_CR_652"
"2A","H8","ELEL_RM_BC_690"
"2A","H9","ELEL_RM_PF_707"
"2A","H10","ELEL_RM_NR_715"
"2A","H11","ELEL_RM_LC_723"
"2A","H12","ELEL_RM_WM_735"
"3A","A1","ELEL_RM_WM_736"
"3A","A2","ELEL_RM_WM_744"
"3A","A3","ELEL_RM_SD_752"
"3A","A4","ELEL_RM_PG_760"
"3A","A5","ELEL_RM_PG_768"
"3A","A6","ELEL_RM_MF_778"
"3A","A7","ELEL_RM_CF_786"
"3A","A8","ELEL_RM_CF_794"
"3A","A9","ELEL_RM_IW_802"
"3A","A10","ELEL_RM_CM_810"
"3A","A11","ELEL_RM_AR_818"
"3A","A12","ELEL_RM_DR_826"
"3A","B1","ELEL_RM_WM_737"
"3A","B2","ELEL_RM_WP_745"
"3A","B3","ELEL_RM_SD_753"
"3A","B4","ELEL_RM_PG_761"
"3A","B5","ELEL_RM_WW_771"
"3A","B6","ELEL_RM_MF_779"
"3A","B7","ELEL_RM_CF_787"
"3A","B8","ELEL_RM_IW_795"
"3A","B9","ELEL_RM_CM_803"
"3A","B10","ELEL_RM_CM_811"
"3A","B11","ELEL_RM_AR_819"
"3A","B12","ELEL_RM_DR_827"
"3A","C1","ELEL_RM_WM_738"
"3A","C2","ELEL_RM_WP_746"
"3A","C3","ELEL_RM_SD_754"
"3A","C4","ELEL_RM_PG_762"
"3A","C5","ELEL_RM_WW_772"
"3A","C6","ELEL_RM_MF_780"
"3A","C7","ELEL_RM_CF_788"
"3A","C8","ELEL_RM_IW_796"
"3A","C9","ELEL_RM_CM_804"
"3A","C10","ELEL_RM_CM_812"
"3A","C11","ELEL_RM_AR_820"
"3A","C12","ELEL_RM_DR_828"
"3A","D1","ELEL_RM_WM_739"
"3A","D2","ELEL_RM_WP_747"
"3A","D3","ELEL_RM_SD_755"
"3A","D4","ELEL_RM_PG_763"
"3A","D5","ELEL_RM_WW_773"
"3A","D6","ELEL_RM_MF_781"
"3A","D7","ELEL_RM_CF_789"
"3A","D8","ELEL_RM_IW_797"
"3A","D9","ELEL_RM_CM_805"
"3A","D10","ELEL_RM_AR_813"
"3A","D11","ELEL_RM_AR_821"
"3A","D12","ELEL_RM_DR_829"
"3A","E1","ELEL_RM_WM_740"
"3A","E2","ELEL_RM_WP_748"
"3A","E3","ELEL_RM_SD_756"
"3A","E4","ELEL_RM_PG_764"
"3A","E5","ELEL_RM_WW_774"
"3A","E6","ELEL_RM_MF_782"
"3A","E7","ELEL_RM_CF_790"
"3A","E8","ELEL_RM_IW_798"
"3A","E9","ELEL_RM_CM_806"
"3A","E10","ELEL_RM_AR_814"
"3A","E11","ELEL_RM_AR_822"
"3A","E12","ELEL_RM_DR_830"
"3A","F1","ELEL_RM_WM_741"
"3A","F2","ELEL_RM_SD_749"
"3A","F3","ELEL_RM_SD_757"
"3A","F4","ELEL_RM_PG_765"
"3A","F5","ELEL_RM_WW_775"
"3A","F6","ELEL_RM_MF_783"
"3A","F7","ELEL_RM_CF_791"
"3A","F8","ELEL_RM_IW_799"
"3A","F9","ELEL_RM_CM_807"
"3A","F10","ELEL_RM_AR_815"
"3A","F11","ELEL_RM_DR_823"
"3A","F12","ELEL_RM_DR_831"
"3A","G1","ELEL_RM_WM_742"
"3A","G2","ELEL_RM_SD_750"
"3A","G3","ELEL_RM_SD_758"
"3A","G4","ELEL_RM_PG_766"
"3A","G5","ELEL_RM_MF_776"
"3A","G6","ELEL_RM_MF_784"
"3A","G7","ELEL_RM_CF_792"
"3A","G8","ELEL_RM_IW_800"
"3A","G9","ELEL_RM_CM_808"
"3A","G10","ELEL_RM_AR_816"
"3A","G11","ELEL_RM_DR_824"
"3A","G12","ELEL_RM_DR_832"
"3A","H1","ELEL_RM_WM_743"
"3A","H2","ELEL_RM_SD_751"
"3A","H3","ELEL_RM_PG_759"
"3A","H4","ELEL_RM_PG_767"
"3A","H5","ELEL_RM_MF_777"
"3A","H6","ELEL_RM_CF_785"
"3A","H7","ELEL_RM_CF_793"
"3A","H8","ELEL_RM_IW_801"
"3A","H9","ELEL_RM_CM_809"
"3A","H10","ELEL_RM_AR_817"
"3A","H11","ELEL_RM_DR_825"
"3A","H12","ELEL_RM_SF_833"
"4A","A1","ELEL_RM_SF_835"
"4A","A2","ELEL_RM_BK_941"
"4A","A3","ELEL_RM_BK_949"
"4A","A4","ELEL_RM_JM_859"
"4A","A5","ELEL_RM_SA_867"
"4A","A6","ELEL_RM_CO_876"
"4A","A7","ELEL_RM_SF_834"
"4A","A8","ELEL_RM_HI_891"
"4A","A9","ELEL_RM_LM_905"
"4A","A10","ELEL_RM_LM_913"
"4A","A11","ELEL_RM_CW_925"
"4A","A12","ELEL_RM_HA_933"
"4A","B1","ELEL_RM_SF_836"
"4A","B2","ELEL_RM_BK_942"
"4A","B3","ELEL_RM_JM_852"
"4A","B4","ELEL_RM_JM_860"
"4A","B5","ELEL_RM_SA_868"
"4A","B6","ELEL_RM_CO_877"
"4A","B7","ELEL_RM_SR_884"
"4A","B8","ELEL_RM_HI_892"
"4A","B9","ELEL_RM_LM_906"
"4A","B10","ELEL_RM_LM_914"
"4A","B11","ELEL_RM_CW_926"
"4A","B12","ELEL_RM_HA_934"
"4A","C1","ELEL_RM_SF_837"
"4A","C2","ELEL_RM_BK_943"
"4A","C3","ELEL_RM_JM_853"
"4A","C4","ELEL_RM_JM_861"
"4A","C5","ELEL_RM_SA_869"
"4A","C6","ELEL_RM_CO_878"
"4A","C7","ELEL_RM_SR_885"
"4A","C8","ELEL_RM_HI_893"
"4A","C9","ELEL_RM_LM_907"
"4A","C10","ELEL_RM_DN_915"
"4A","C11","ELEL_RM_CW_927"
"4A","C12","ELEL_RM_HA_935"
"4A","D1","ELEL_RM_SF_838"
"4A","D2","ELEL_RM_BK_944"
"4A","D3","ELEL_RM_JM_854"
"4A","D4","ELEL_RM_SA_862"
"4A","D5","ELEL_RM_SA_870"
"4A","D6","ELEL_RM_SR_879"
"4A","D7","ELEL_RM_SR_886"
"4A","D8","ELEL_RM_HI_894"
"4A","D9","ELEL_RM_LM_908"
"4A","D10","ELEL_RM_DN_916"
"4A","D11","ELEL_RM_CW_928"
"4A","D12","ELEL_RM_HA_936"
"4A","E1","ELEL_RM_SF_839"
"4A","E2","ELEL_RM_BK_945"
"4A","E3","ELEL_RM_JM_855"
"4A","E4","ELEL_RM_SA_863"
"4A","E5","ELEL_RM_SA_871"
"4A","E6","ELEL_RM_SR_880"
"4A","E7","ELEL_RM_SR_887"
"4A","E8","ELEL_RM_HI_895"
"4A","E9","ELEL_RM_LM_909"
"4A","E10","ELEL_RM_DN_917"
"4A","E11","ELEL_RM_HA_929"
"4A","E12","ELEL_RM_HA_937"
"4A","F1","ELEL_RM_SF_840"
"4A","F2","ELEL_RM_BK_946"
"4A","F3","ELEL_RM_JM_856"
"4A","F4","ELEL_RM_SA_864"
"4A","F5","ELEL_RM_CO_872"
"4A","F6","ELEL_RM_SR_881"
"4A","F7","ELEL_RM_SR_888"
"4A","F8","ELEL_RM_HI_896"
"4A","F9","ELEL_RM_LM_910"
"4A","F10","ELEL_RM_DN_918"
"4A","F11","ELEL_RM_HA_930"
"4A","F12","ELEL_RM_HA_938"
"4A","G1","ELEL_RM_SF_841"
"4A","G2","ELEL_RM_BK_947"
"4A","G3","ELEL_RM_JM_857"
"4A","G4","ELEL_RM_SA_865"
"4A","G5","ELEL_RM_CO_873"
"4A","G6","ELEL_RM_SR_882"
"4A","G7","ELEL_RM_HI_889"
"4A","G8","ELEL_RM_HI_897"
"4A","G9","ELEL_RM_LM_911"
"4A","G10","ELEL_RM_DN_919"
"4A","G11","ELEL_RM_HA_931"
"4A","G12","ELEL_RM_BK_939"
"4A","H1","ELEL_RM_SF_842"
"4A","H2","ELEL_RM_BK_948"
"4A","H3","ELEL_RM_JM_858"
"4A","H4","ELEL_RM_SA_866"
"4A","H5","ELEL_RM_CO_875"
"4A","H6","ELEL_RM_SR_883"
"4A","H7","ELEL_RM_HI_890"
"4A","H8","ELEL_RM_HI_898"
"4A","H9","ELEL_RM_LM_912"
"4A","H10","ELEL_RM_DN_920"
"4A","H11","ELEL_RM_HA_932"
"4A","H12","ELEL_RM_BK_940"
"5A","A1","ELEL_GR_W632710_950"
"5A","A2","ELEL_GR_W640119_958"
"5A","A3","ELEL_GR_W640429_966"
"5A","A4","ELEL_GR_W640732_974"
"5A","A5","ELEL_GR_W643085_982"
"5A","A6","ELEL_GR_W644339_990"
"5A","A7","ELEL_GR_W652430_998"
"5A","A8","ELEL_GR_W652483_1006"
"5A","A9","ELEL_GR_W655233_1014"
"5A","A10","ELEL_GR_W655235_1022"
"5A","A11","ELEL_GR_W656003_1030"
"5A","A12","ELEL_GR_W656338_1038"
"5A","B1","ELEL_GR_W632710_951"
"5A","B2","ELEL_GR_W640119_959"
"5A","B3","ELEL_GR_W640429_967"
"5A","B4","ELEL_GR_W640732_975"
"5A","B5","ELEL_GR_W643085_983"
"5A","B6","ELEL_GR_W644339_991"
"5A","B7","ELEL_GR_W652430_999"
"5A","B8","ELEL_GR_W652483_1007"
"5A","B9","ELEL_GR_W655233_1015"
"5A","B10","ELEL_GR_W655235_1023"
"5A","B11","ELEL_GR_W656003_1031"
"5A","B12","ELEL_GR_W656338_1039"
"5A","C1","ELEL_GR_W632710_952"
"5A","C2","ELEL_GR_W640119_960"
"5A","C3","ELEL_GR_W640429_968"
"5A","C4","ELEL_GR_W640732_976"
"5A","C5","ELEL_GR_W643085_984"
"5A","C6","ELEL_GR_W644339_992"
"5A","C7","ELEL_GR_W652430_1000"
"5A","C8","ELEL_GR_W652483_1008"
"5A","C9","ELEL_GR_W655233_1016"
"5A","C10","ELEL_GR_W655235_1024"
"5A","C11","ELEL_GR_W656003_1032"
"5A","C12","ELEL_GR_W656338_1040"
"5A","D1","ELEL_GR_W632710_953"
"5A","D2","ELEL_GR_W640119_961"
"5A","D3","ELEL_GR_W640429_969"
"5A","D4","ELEL_GR_W640732_977"
"5A","D5","ELEL_GR_W643085_985"
"5A","D6","ELEL_GR_W644339_993"
"5A","D7","ELEL_GR_W652430_1001"
"5A","D8","ELEL_GR_W652483_1009"
"5A","D9","ELEL_GR_W655233_1017"
"5A","D10","ELEL_GR_W655235_1025"
"5A","D11","ELEL_GR_W656003_1033"
"5A","D12","ELEL_GR_W656338_1041"
"5A","E1","ELEL_GR_W632710_954"
"5A","E2","ELEL_GR_W640119_962"
"5A","E3","ELEL_GR_W640429_970"
"5A","E4","ELEL_GR_W640732_978"
"5A","E5","ELEL_GR_W643085_986"
"5A","E6","ELEL_GR_W644339_994"
"5A","E7","ELEL_GR_W652430_1002"
"5A","E8","ELEL_GR_W652483_1010"
"5A","E9","ELEL_GR_W655233_1018"
"5A","E10","ELEL_GR_W655235_1026"
"5A","E11","ELEL_GR_W656003_1034"
"5A","E12","ELEL_GR_W656338_1042"
"5A","F1","ELEL_GR_W632710_955"
"5A","F2","ELEL_GR_W640119_963"
"5A","F3","ELEL_GR_W640429_971"
"5A","F4","ELEL_GR_W640732_979"
"5A","F5","ELEL_GR_W643085_987"
"5A","F6","ELEL_GR_W644339_995"
"5A","F7","ELEL_GR_W652430_1003"
"5A","F8","ELEL_GR_W652483_1011"
"5A","F9","ELEL_GR_W655233_1019"
"5A","F10","ELEL_GR_W655235_1027"
"5A","F11","ELEL_GR_W656003_1035"
"5A","F12","ELEL_GR_W656338_1043"
"5A","G1","ELEL_GR_W632710_956"
"5A","G2","ELEL_GR_W640119_964"
"5A","G3","ELEL_GR_W640429_972"
"5A","G4","ELEL_GR_W640732_980"
"5A","G5","ELEL_GR_W643085_988"
"5A","G6","ELEL_GR_W644339_996"
"5A","G7","ELEL_GR_W652430_1004"
"5A","G8","ELEL_GR_W652483_1012"
"5A","G9","ELEL_GR_W655233_1020"
"5A","G10","ELEL_GR_W655235_1028"
"5A","G11","ELEL_GR_W656003_1036"
"5A","G12","ELEL_GR_W656338_1044"
"5A","H1","ELEL_GR_W632710_957"
"5A","H2","ELEL_GR_W640119_965"
"5A","H3","ELEL_GR_W640429_973"
"5A","H4","ELEL_GR_W640732_981"
"5A","H5","ELEL_GR_W643085_989"
"5A","H6","ELEL_GR_W644339_997"
"5A","H7","ELEL_GR_W652430_1005"
"5A","H8","ELEL_GR_W652483_1013"
"5A","H9","ELEL_GR_W655233_1021"
"5A","H10","ELEL_GR_W655235_1029"
"5A","H11","ELEL_GR_W656003_1037"
"5A","H12","ELEL_GR_W656338_1045"
"6A","A1","ELEL_GR_W657679_1046"
"6A","A2","ELEL_GR_W659426_1054"
"6A","A3","ELEL_GR_W632516_1062"
"6A","A4","ELEL_GR_W661012_1070"
"6A","A5",NA
"6A","A6",NA
"6A","A7",NA
"6A","A8",NA
"6A","A9",NA
"6A","A10",NA
"6A","A11",NA
"6A","A12",NA
"6A","B1","ELEL_GR_W657679_1047"
"6A","B2","ELEL_GR_W659426_1055"
"6A","B3","ELEL_GR_W632516_1063"
"6A","B4","ELEL_GR_W661012_1071"
"6A","B5",NA
"6A","B6",NA
"6A","B7",NA
"6A","B8",NA
"6A","B9",NA
"6A","B10",NA
"6A","B11",NA
"6A","B12",NA
"6A","C1","ELEL_GR_W657679_1048"
"6A","C2","ELEL_GR_W659426_1056"
"6A","C3","ELEL_GR_W632516_1064"
"6A","C4","ELEL_GR_W661012_1072"
"6A","C5",NA
"6A","C6",NA
"6A","C7",NA
"6A","C8",NA
"6A","C9",NA
"6A","C10",NA
"6A","C11",NA
"6A","C12",NA
"6A","D1","ELEL_GR_W657679_1049"
"6A","D2","ELEL_GR_W659426_1057"
"6A","D3","ELEL_GR_W632516_1065"
"6A","D4","ELEL_GR_W661012_1073"
"6A","D5",NA
"6A","D6",NA
"6A","D7",NA
"6A","D8",NA
"6A","D9",NA
"6A","D10",NA
"6A","D11",NA
"6A","D12",NA
"6A","E1","ELEL_GR_W657679_1050"
"6A","E2","ELEL_GR_W659426_1058"
"6A","E3","ELEL_GR_W632516_1066"
"6A","E4","ELEL_GR_W661012_1074"
"6A","E5",NA
"6A","E6",NA
"6A","E7",NA
"6A","E8",NA
"6A","E9",NA
"6A","E10",NA
"6A","E11",NA
"6A","E12",NA
"6A","F1","ELEL_GR_W657679_1051"
"6A","F2","ELEL_GR_W659426_1059"
"6A","F3","ELEL_GR_W632516_1067"
"6A","F4","ELEL_GR_W661012_1075"
"6A","F5",NA
"6A","F6",NA
"6A","F7",NA
"6A","F8",NA
"6A","F9",NA
"6A","F10",NA
"6A","F11",NA
"6A","F12",NA
"6A","G1","ELEL_GR_W657679_1052"
"6A","G2","ELEL_GR_W659426_1060"
"6A","G3","ELEL_GR_W632516_1068"
"6A","G4","ELEL_GR_W661012_1076"
"6A","G5",NA
"6A","G6",NA
"6A","G7",NA
"6A","G8",NA
"6A","G9",NA
"6A","G10",NA
"6A","G11",NA
"6A","G12",NA
"6A","H1","ELEL_GR_W657679_1053"
"6A","H2","ELEL_GR_W659426_1061"
"6A","H3","ELEL_GR_W632516_1069"
"6A","H4","ELEL_GR_W661012_1077"
"6A","H5",NA
"6A","H6",NA
"6A","H7",NA
"6A","H8",NA
"6A","H9",NA
"6A","H10",NA
"6A","H11",NA
"6A","H12",NA
