"Plate","Well","ID"
"1A","A1","ELEL_RM_CD_442"
"1A","A2","ELEL_RM_CD_450"
"1A","A3","ELEL_RM_BP_458"
"1A","A4","ELEL_RM_SC_466"
"1A","A5","ELEL_RM_BS_489"
"1A","A6","ELEL_RM_WD_497"
"1A","A7","ELEL_RM_WR_505"
"1A","A8","ELEL_RM_NF_525"
"1A","A9","ELEL_RM_CC_533"
"1A","A10","ELEL_RM_MM_541"
"1A","A11","ELEL_RM_OC_553"
"1A","A12","ELEL_RM_CH_571"
"1A","B1","ELEL_RM_CD_443"
"1A","B2","ELEL_RM_CD_451"
"1A","B3","ELEL_RM_BP_459"
"1A","B4","ELEL_RM_SC_467"
"1A","B5","ELEL_RM_BS_490"
"1A","B6","ELEL_RM_WD_498"
"1A","B7","ELEL_RM_WR_506"
"1A","B8","ELEL_RM_CC_526"
"1A","B9","ELEL_RM_CC_534"
"1A","B10","ELEL_RM_MM_542"
"1A","B11","ELEL_RM_OC_554"
"1A","B12","ELEL_RM_CH_572"
"1A","C1","ELEL_RM_CD_444"
"1A","C2","ELEL_RM_BP_452"
"1A","C3","ELEL_RM_BP_460"
"1A","C4","ELEL_RM_SC_468"
"1A","C5","ELEL_RM_BS_491"
"1A","C6","ELEL_RM_WD_499"
"1A","C7","ELEL_RM_WR_507"
"1A","C8","ELEL_RM_CC_527"
"1A","C9","ELEL_RM_CC_535"
"1A","C10","ELEL_RM_MM_543"
"1A","C11","ELEL_RM_OC_555"
"1A","C12","ELEL_RM_CH_573"
"1A","D1","ELEL_RM_CD_445"
"1A","D2","ELEL_RM_BP_453"
"1A","D3","ELEL_RM_BP_461"
"1A","D4","ELEL_RM_SC_469"
"1A","D5","ELEL_RM_BS_492"
"1A","D6","ELEL_RM_WD_500"
"1A","D7","ELEL_RM_WR_508"
"1A","D8","ELEL_RM_CC_528"
"1A","D9","ELEL_RM_CC_536"
"1A","D10","ELEL_RM_MM_544"
"1A","D11","ELEL_RM_OC_556"
"1A","D12","ELEL_RM_CH_574"
"1A","E1","ELEL_RM_CD_446"
"1A","E2","ELEL_RM_BP_454"
"1A","E3","ELEL_RM_SC_462"
"1A","E4","ELEL_RM_SC_470"
"1A","E5","ELEL_RM_BS_493"
"1A","E6","ELEL_RM_WD_501"
"1A","E7","ELEL_RM_WR_509"
"1A","E8","ELEL_RM_CC_529"
"1A","E9","ELEL_RM_MM_537"
"1A","E10","ELEL_RM_MM_545"
"1A","E11","ELEL_RM_OC_557"
"1A","E12","ELEL_RM_CH_575"
"1A","F1","ELEL_RM_CD_447"
"1A","F2","ELEL_RM_BP_455"
"1A","F3","ELEL_RM_SC_463"
"1A","F4","ELEL_RM_SC_471"
"1A","F5","ELEL_RM_WD_494"
"1A","F6","ELEL_RM_WD_502"
"1A","F7","ELEL_RM_NF_522"
"1A","F8","ELEL_RM_CC_530"
"1A","F9","ELEL_RM_MM_538"
"1A","F10","ELEL_RM_MM_546"
"1A","F11","ELEL_RM_OC_558"
"1A","F12","ELEL_RM_CH_576"
"1A","G1","ELEL_RM_CD_448"
"1A","G2","ELEL_RM_BP_456"
"1A","G3","ELEL_RM_SC_464"
"1A","G4","ELEL_RM_BS_487"
"1A","G5","ELEL_RM_WD_495"
"1A","G6","ELEL_RM_WR_503"
"1A","G7","ELEL_RM_NF_523"
"1A","G8","ELEL_RM_CC_531"
"1A","G9","ELEL_RM_MM_539"
"1A","G10","ELEL_RM_OC_551"
"1A","G11","ELEL_RM_OC_559"
"1A","G12","ELEL_RM_CH_577"
"1A","H1","ELEL_RM_CD_449"
"1A","H2","ELEL_RM_BP_457"
"1A","H3","ELEL_RM_SC_465"
"1A","H4","ELEL_RM_BS_488"
"1A","H5","ELEL_RM_WD_496"
"1A","H6","ELEL_RM_WR_504"
"1A","H7","ELEL_RM_NF_524"
"1A","H8","ELEL_RM_CC_532"
"1A","H9","ELEL_RM_MM_540"
"1A","H10","ELEL_RM_OC_552"
"1A","H11","ELEL_RM_OC_560"
"1A","H12","ELEL_RM_CH_578"
"2A","A1","ELEL_RM_CH_579"
"2A","A2","ELEL_RM_HC_605"
"2A","A3","ELEL_RM_NC_613"
"2A","A4","ELEL_RM_BL_621"
"2A","A5","ELEL_RM_DW_629"
"2A","A6","ELEL_RM_MP_637"
"2A","A7","ELEL_RM_MP_645"
"2A","A8","ELEL_RM_CR_653"
"2A","A9","ELEL_RM_BC_691"
"2A","A10","ELEL_RM_SY_708"
"2A","A11","ELEL_RM_NR_716"
"2A","A12","ELEL_RM_LC_724"
"2A","B1","ELEL_RM_CH_580"
"2A","B2","ELEL_RM_HC_606"
"2A","B3","ELEL_RM_NC_614"
"2A","B4","ELEL_RM_BL_622"
"2A","B5","ELEL_RM_DW_630"
"2A","B6","ELEL_RM_MP_638"
"2A","B7","ELEL_RM_CR_646"
"2A","B8","ELEL_RM_CR_654"
"2A","B9","ELEL_RM_BC_692"
"2A","B10","ELEL_RM_SY_709"
"2A","B11","ELEL_RM_NR_717"
"2A","B12","ELEL_RM_LC_725"
"2A","C1","ELEL_RM_HC_599"
"2A","C2","ELEL_RM_HC_607"
"2A","C3","ELEL_RM_NC_615"
"2A","C4","ELEL_RM_BL_623"
"2A","C5","ELEL_RM_DW_631"
"2A","C6","ELEL_RM_MP_639"
"2A","C7","ELEL_RM_CR_647"
"2A","C8","ELEL_RM_CR_655"
"2A","C9","ELEL_RM_BC_693"
"2A","C10","ELEL_RM_SY_710"
"2A","C11","ELEL_RM_NR_718"
"2A","C12","ELEL_RM_LC_726"
"2A","D1","ELEL_RM_HC_600"
"2A","D2","ELEL_RM_HC_608"
"2A","D3","ELEL_RM_NC_616"
"2A","D4","ELEL_RM_BL_624"
"2A","D5","ELEL_RM_DW_632"
"2A","D6","ELEL_RM_MP_640"
"2A","D7","ELEL_RM_CR_648"
"2A","D8","ELEL_RM_BC_686"
"2A","D9","ELEL_RM_BC_694"
"2A","D10","ELEL_RM_NR_711"
"2A","D11","ELEL_RM_NR_719"
"2A","D12","ELEL_RM_LC_727"
"2A","E1","ELEL_RM_HC_601"
"2A","E2","ELEL_RM_NC_609"
"2A","E3","ELEL_RM_NC_617"
"2A","E4","ELEL_RM_BL_625"
"2A","E5","ELEL_RM_DW_633"
"2A","E6","ELEL_RM_MP_641"
"2A","E7","ELEL_RM_CR_649"
"2A","E8","ELEL_RM_BC_687"
"2A","E9","ELEL_RM_BC_695"
"2A","E10","ELEL_RM_NR_712"
"2A","E11","ELEL_RM_NR_720"
"2A","E12","ELEL_RM_LC_728"
"2A","F1","ELEL_RM_HC_602"
"2A","F2","ELEL_RM_NC_610"
"2A","F3","ELEL_RM_NC_618"
"2A","F4","ELEL_RM_BL_626"
"2A","F5","ELEL_RM_MP_634"
"2A","F6","ELEL_RM_MP_642"
"2A","F7","ELEL_RM_CR_650"
"2A","F8","ELEL_RM_BC_688"
"2A","F9","ELEL_RM_PF_705"
"2A","F10","ELEL_RM_NR_713"
"2A","F11","ELEL_RM_LC_721"
"2A","F12","ELEL_RM_LC_729"
"2A","G1","ELEL_RM_HC_603"
"2A","G2","ELEL_RM_NC_611"
"2A","G3","ELEL_RM_BL_619"
"2A","G4","ELEL_RM_BL_627"
